Type,Hindi_name,Symptoms,Cause,Prevention
Apple___Apple_scab,सेब का पपड़ी रोग ,"Leaf Lesions: The most common and recognizable symptom is the appearance of dark, olive-green to black lesions on the leaves. These lesions are often irregularly shaped and have a velvety or scaly texture. As the disease progresses, the lesions may coalesce, leading to extensive damage to the leaf surface.  Fruit Lesions: Scab also affects apple fruit. Infected fruit develop small, circular or irregularly shaped lesions with a rough, scabby appearance. The color of the lesions varies from olive-green to dark brown or black. As the fruit matures, the scabby lesions may become more prominent and affect the overall appearance of the fruit.  Twig Lesions: While less common, apple scab can also cause small, elongated lesions on young twigs. These lesions may not be as obvious as those on the leaves and fruit, but they can contribute to the spread of the disease.  Leaf Deformation: Severe infections of apple scab on leaves can lead to distortion and curling of the foliage, affecting the tree's overall health and vigor.  Premature Leaf Drop: The disease can cause infected leaves to drop prematurely from the tree, reducing the photosynthetic capacity and potentially weakening the tree over time.","Apple scab is typically spread through airborne spores produced by the fungus. The primary sources of infection are fallen leaves and infected fruit left on the ground from the previous growing season. In spring, when the conditions are favorable for the fungus to grow, the spores are released and can infect new leaves and fruit.","While it's challenging to completely cure apple scab once a tree is infected, it can be managed and controlled with a combination of cultural practices and fungicide applications. Here are some strategies to control apple scab:  Sanitation: Rake up and remove fallen leaves and fruit from around the apple tree. This helps reduce the primary source of infection for the following year. Pruning: Properly prune the apple tree to improve air circulation within the canopy, which reduces the humidity and dampness that favor disease development. Resistant varieties: Plant apple tree varieties that are less susceptible to scab infection. Consult with local horticulturists or agricultural extension offices for suitable varieties in your region. Fungicides: In commercial orchards or severe cases, applying fungicides can be an effective way to control scab. Fungicides need to be applied preventatively, starting in early spring when the buds begin to swell and continuing at regular intervals during wet and humid periods. Organic alternatives: Some organic fungicides, such as neem oil and copper-based sprays, can be used to manage apple scab. They may require more frequent applications than synthetic fungicides."
Apple___Black_rot, सेब का काला सड़न,"The symptoms of apple black rot can vary depending on the affected plant parts and the stage of the disease. Common symptoms include:  Fruit Lesions: Infected apples develop circular or elongated lesions with distinct margins. Initially, the lesions are brown or black, and as the disease progresses, they become sunken and may have concentric rings, giving the fruit a ""frog-eye"" appearance.  Shoot Blight: Young shoots and small branches may exhibit cankers, which are sunken, dark areas on the bark. These cankers can lead to dieback of the affected shoots.  Leaf Symptoms: In some cases, black rot can cause dark, irregularly shaped lesions on the leaves, often accompanied by yellowing and premature leaf drop.  Mummified Fruit: Infected fruit may become mummified, becoming shriveled and dry on the tree or remaining attached throughout the winter.","The black rot fungus survives in infected plant debris, such as dead leaves and fruit left on the ground or remaining on the tree. In spring, the fungus produces spores that are spread by rain, wind, or insects to new plant tissue, infecting young shoots, fruit, and branches. Warm and wet conditions during the growing season favor the development and spread of the disease.","Apple black rot can be challenging to cure once established, but several management practices can help prevent and control the disease:  Sanitation: Remove and destroy infected plant debris, including fallen leaves and mummified fruit. This reduces the primary source of inoculum for the next growing season.  Pruning: Prune and remove infected branches and shoots during dormancy to limit the spread of the disease within the tree.  Fungicides: Apply fungicides preventatively during the growing season to protect susceptible plant tissues from infection. Copper-based fungicides and other fungicides labeled for apple black rot can be effective if applied according to the manufacturer's instructions.  Resistant Varieties: Consider planting apple varieties that show some resistance to black rot to reduce the risk of infection.  Proper Watering: Avoid overhead watering and provide good air circulation to reduce humidity and create an environment less favorable for the black rot fungus."
Apple___Cedar_apple_rust, देवदार सेब जंग,"On Apple and Crabapple Trees:  Yellow Spots: In the early stages, small, bright yellow spots appear on the upper surface of the leaves. Orange Spore Pustules: As the disease progresses, these yellow spots develop into raised, orange or rust-colored spore-filled pustules on the undersides of the leaves. Leaf Curling: Infected leaves may curl, distort, or become dwarfed due to the presence of the pustules. On Eastern Red Cedar or Juniper Hosts:  Gall Formation: The fungus forms small, brown, woody galls on the branches of the Eastern red cedar or Juniper. These galls have a distinctive appearance and are often referred to as ""cedar apples"" or ""cedar galls."" Spore Production: During wet conditions, the galls release orange, gelatinous spore horns from the galls, which are then carried by the wind to infect apple trees.","The Cedar Apple Rust fungus produces spores on the Eastern red cedar or Juniper host during the spring, which are then carried by wind to infect apple or crabapple trees. The disease cycle continues as the fungus produces spores on the apple trees, which are carried back to the juniper host. The disease thrives in regions where both apple trees and Eastern red cedars or Junipers coexist.","Controlling Cedar Apple Rust involves several strategies to break the disease cycle and reduce its impact:  Sanitation: Remove and destroy any cedar galls from infected Juniper hosts during the winter or early spring before they release spores. This helps reduce spore production and subsequent infections on apple trees.  Planting Distance: If possible, avoid planting apple trees near Eastern red cedar or Juniper hosts to reduce the chances of disease spread.  Fungicides: Applying fungicides to apple trees during the spring when the rust symptoms first appear can help prevent infection. Fungicides should be applied preventatively and according to the manufacturer's instructions.  Resistant Varieties: Some apple tree varieties are less susceptible to Cedar Apple Rust. Planting resistant cultivars can be an effective preventive measure.  Pruning: Prune infected branches and leaves from apple trees during the growing season to reduce disease pressure."
Apple___healthy, स्वस्थ सेब,,,
Blueberry___healthy,स्वस्थ नीलबदरी,,,
Cherry_(including_sour)___Powdery_mildew,आलूबालू(चेरी)  का  पाउडर रूपी फफूंद,"Symptoms of cherry powdery mildew usually appear on the leaves, but other plant parts, such as blossoms and fruit, can also be affected. Common symptoms include:  White Powdery Coating: The most apparent symptom is the development of a white, powdery coating on the upper surfaces of the leaves. This powdery growth consists of fungal spores and mycelium.  Curling and Distortion: Infected leaves may exhibit curling, rolling, or distortion due to the fungal growth affecting leaf development.  Yellowing: As the disease progresses, infected leaves may turn yellow, which can lead to premature leaf drop.  Blossom and Fruit Infection: In severe cases, the fungus can infect cherry blossoms, leading to poor fruit set. It can also affect the fruit directly, causing blemishes and reducing fruit quality.","Cherry powdery mildew spreads through airborne spores produced by the fungus. The disease is favored by moderate temperatures and high humidity, making it more prevalent during the spring and early summer when the weather is conducive to fungal growth.","While it is challenging to completely cure powdery mildew once it has established itself on cherry trees, the disease can be managed through various preventive and control measures:  Plant Resistant Varieties: Consider planting cherry tree varieties that have shown some resistance to powdery mildew to reduce the risk of infection.  Pruning: Prune cherry trees to improve air circulation within the canopy, which helps reduce humidity levels and create an environment less favorable for fungal growth.  Watering: Avoid overhead watering and irrigate at the base of the tree to keep the foliage dry and minimize conditions that favor powdery mildew development.  Fungicides: In severe cases or when the disease is likely to be problematic, fungicides can be applied preventatively to protect the cherry tree from infection. Consult with local gardening experts or agricultural extension offices for appropriate fungicides and application timings.  Remove Infected Leaves and Prunings: Remove and dispose of infected leaves and prunings away from the cherry trees to minimize the chances of reinfection."
Cherry_(including_sour)___healthy,स्वस्थ आलूबालू(चेरी),,,
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,मक्के की पत्तियों के भूरे  धब्बे,"Symptoms of Cercospora leaf spot usually appear on the lower leaves of the corn plant. They start as small, light tan to grayish lesions that later develop into irregular, elongated spots with a dark brown to purplish-brown border. The center of the lesions may become grayish-white or tan with age, hence the name ""leaf spot."" As the disease progresses, the lesions may coalesce, leading to extensive damage and defoliation of the lower leaves.","Cercospora leaf spot is caused by the fungus Cercospora zeae-maydis. The fungus overwinters in crop debris and can also survive on infected seeds, facilitating its spread to new plantings in the following growing season.","While complete cure of Cercospora leaf spot is challenging once it has established itself in the field, several management practices can help control the disease:  Crop Rotation: Rotate corn with non-host crops (plants not susceptible to Cercospora leaf spot) to reduce the buildup of the pathogen in the soil.  Resistant Varieties: Plant corn hybrids that have shown resistance or tolerance to Cercospora leaf spot. Consult with local agricultural experts or seed suppliers to select appropriate varieties.  Sanitation: Clean and remove crop debris from the field after harvest to reduce the source of inoculum for the next growing season.  Fungicides: Apply fungicides when the disease is first detected and conditions are favorable for disease development. Fungicides should be used preventatively and according to the manufacturer's recommendations.  Timing of Irrigation: Avoid overhead irrigation and irrigate early in the day to allow the leaves to dry quickly, reducing the period of leaf wetness that favors fungal growth."
Corn_(maize)___Common_rust_, मकई मक्का जंग,"Symptoms of common rust typically appear on the leaves of the corn plant. They include:  Small, Circular Lesions: The initial symptoms consist of small, oval to elongated, reddish-brown to orange lesions on the upper leaf surface.  Pustules: As the disease progresses, the lesions develop into raised, blister-like structures known as pustules. These pustules rupture to release masses of reddish-brown to black spores.  Rust Color: The abundance of spores gives the affected areas a rusty or dusty appearance, hence the name ""common rust.""  Leaf Yellowing: Severe infections can lead to extensive pustule formation, which may cause yellowing of the leaves and reduced photosynthetic capacity.","Common rust is caused by the fungus Puccinia sorghi. The fungus overwinters on infected corn debris or on alternate host plants. In the spring, fungal spores are produced and spread by wind to infect new corn plants, starting the disease cycle for the season.","While it is challenging to completely cure common rust once it has infected the corn plants, several management practices can help control the disease:  Resistant Varieties: Plant corn hybrids that have demonstrated resistance or tolerance to common rust. Resistant varieties can significantly reduce the impact of the disease.  Crop Rotation: Rotate corn with non-host crops to reduce the buildup of the pathogen in the soil.  Timely Planting: Early planting may allow corn to establish and grow ahead of peak disease pressure.  Fungicides: In severe cases or when the disease is likely to be problematic, fungicides can be applied preventatively to protect the corn crop from infection. Consult with local agricultural experts or extension offices for appropriate fungicides and application timings.  Sanitation: Remove and destroy crop debris after harvest to reduce the overwintering of the fungus."
Corn_(maize)___Northern_Leaf_Blight,मक्के की उत्तरी पत्ती का झुलसा रोग,"Symptoms of Northern Leaf Blight primarily appear on the leaves of the corn plant. They include:  Long, Elliptical Lesions: The initial symptoms consist of long, elliptical lesions that run parallel to the leaf veins. The lesions are tan to grayish-brown and may have wavy edges.  Lesion Expansion: As the disease progresses, the lesions elongate and become more pronounced, covering significant portions of the leaf surface.  Lesion Coalescence: Severe infections can lead to the coalescence of lesions, resulting in large, irregularly shaped areas of blighted tissue.  Leaf Dieback: Advanced infections can cause the affected leaves to die prematurely, leading to reduced photosynthesis and potential yield loss.","Northern Leaf Blight is caused by the fungus Exserohilum turcicum. The fungus overwinters in infected corn debris or on alternate host plants. In the spring, when conditions are favorable, the spores are released and spread by wind or rain to infect new corn plants.","While it is challenging to completely cure Northern Leaf Blight once it has infected the corn plants, several management practices can help control the disease:  Resistant Varieties: Plant corn hybrids that have demonstrated resistance or tolerance to Northern Leaf Blight. Resistant varieties can significantly reduce the impact of the disease.  Crop Rotation: Rotate corn with non-host crops to reduce the buildup of the pathogen in the soil.  Timely Planting: Early planting may allow corn to establish and grow ahead of peak disease pressure.  Fungicides: In severe cases or when the disease is likely to be problematic, fungicides can be applied preventatively to protect the corn crop from infection. Consult with local agricultural experts or extension offices for appropriate fungicides and application timings.  Sanitation: Remove and destroy crop debris after harvest to reduce the overwintering of the fungus."
